image,json_file,qname,correct_index,orig_left,orig_top,orig_right,orig_bottom,rect_left,rect_top,rect_width,rect_height,rect_bottom
q4_1100_learning_01.png,q4_1100_learning_01.json,Learning_is_best_defined_in_this_course,2,8,258,1392,351,8,258,1384,93,351
q4_1100_learning_02.png,q4_1100_learning_02.json,A_firefighter_who_was_terrified_by_a,0,8,168,1392,261,8,168,1384,93,261
q4_1100_learning_03.png,q4_1100_learning_03.json,A_student_develops_anxiety_in_one_particular,3,8,455,1392,548,8,455,1384,93,548
q4_1100_learning_04.png,q4_1100_learning_04.json,A_dog_learns_that_the_sound_of,1,8,284,1392,377,8,284,1384,93,377
q4_1100_learning_05.png,q4_1100_learning_05.json,An_advertiser_repeatedly_pairs_a_neutral_brand,2,8,364,1392,457,8,364,1384,93,457
q4_1100_learning_06.png,q4_1100_learning_06.json,A_person_develops_a_strong_aversion_to,3,8,455,1392,548,8,455,1384,93,548
q4_1100_learning_07.png,q4_1100_learning_07.json,In_Thorndike_s_puzzle_box_studies_cats,1,8,230,1392,323,8,230,1384,93,323
q4_1100_learning_08.png,q4_1100_learning_08.json,A_paycheque_that_arrives_every_two_weeks,0,8,96,1392,189,8,96,1384,93,189
q4_1100_learning_09.png,q4_1100_learning_09.json,Slot_machine_gambling_typically_produces_very_high,3,8,455,1392,548,8,455,1384,93,548
q4_1100_learning_10.png,q4_1100_learning_10.json,You_want_your_dog_to_fetch_a,2,8,404,1392,497,8,404,1384,93,497
q4_1100_learning_11.png,q4_1100_learning_11.json,Which_of_the_following_best_distinguishes_primary,0,8,104,1392,197,8,104,1384,93,197
q4_1100_learning_12.png,q4_1100_learning_12.json,A_teenager_cleans_their_room_to_stop,1,8,235,1392,328,8,235,1384,93,328
q4_1100_learning_13.png,q4_1100_learning_13.json,A_woman_begins_taking_a_longer_route,2,8,327,1392,420,8,327,1384,93,420
q4_1100_learning_14.png,q4_1100_learning_14.json,A_hockey_player_happens_to_wear_a,3,8,498,1392,591,8,498,1384,93,591
q4_1100_learning_15.png,q4_1100_learning_15.json,In_Tolman_and_Honzik_s_maze_study,0,8,183,1392,276,8,183,1384,93,276
q4_1100_learning_16.png,q4_1100_learning_16.json,Raccoons_trained_to_deposit_coins_into_a,1,8,301,1392,394,8,301,1384,93,394
q4_1100_learning_17.png,q4_1100_learning_17.json,Evidence_on_conditioned_taste_aversion_instinctive_drift,3,8,380,1392,473,8,380,1384,93,473
q4_1100_learning_18.png,q4_1100_learning_18.json,A_child_learns_how_to_behave_in,2,8,393,1392,486,8,393,1384,93,486
q4_1100_learning_19.png,q4_1100_learning_19.json,According_to_Bandura_which_sequence_correctly_lists,0,8,101,1392,194,8,101,1384,93,194
q4_1100_learning_20.png,q4_1100_learning_20.json,You_watch_a_friend_negotiate_assertively_with,3,8,485,1392,578,8,485,1384,93,578
q4_1100_learning_21.png,q4_1100_learning_21.json,Longitudinal_and_cross_national_studies_of_media,1,8,193,1392,286,8,193,1384,93,286
q4_1100_learning_22.png,q4_1100_learning_22.json,Recent_research_on_video_games_indicates_that,2,8,288,1392,381,8,288,1384,93,381
q4_1100_learning_23.png,q4_1100_learning_23.json,Mirror_neurons_are_of_interest_to_learning,1,8,197,1392,290,8,197,1384,93,290
q4_1100_learning_24.png,q4_1100_learning_24.json,In_the_behaviour_modification_section_the_first,1,8,194,1392,287,8,194,1384,93,287
q4_1100_learning_25.png,q4_1100_learning_25.json,A_student_who_wants_to_reduce_late,3,8,500,1392,593,8,500,1384,93,593
q4_1100_learning_26.png,q4_1100_learning_26.json,In_a_self_modification_program_to_increase,2,8,403,1392,496,8,403,1384,93,496
q4_1100_learning_27.png,q4_1100_learning_27.json,Modern_cognitive_approaches_to_conditioning_emphasize_that,2,8,286,1392,379,8,286,1384,93,379
q4_1100_learning_28.png,q4_1100_learning_28.json,When_psychologists_say_that_learning_research_reflects,2,8,283,1392,376,8,283,1384,93,376
q4_1100_learning_29.png,q4_1100_learning_29.json,For_each_of_the_following_which_type,2,8,433,1392,526,8,433,1384,93,526
q4_1100_learning_30.png,q4_1100_learning_30.json,A_student_designs_a_self_control_program,1,8,299,1392,392,8,299,1384,93,392
